country,days.to.peak.mortality,peak.or.no.mortality,days.to.peak.case,peak.or.no.case,early.mortality,early.mortality.growth,early.case,early.case.growth,peak.cum.mortality,peak.cum.case,peak.new.mortality,peak.new.case,log.peak.mortality.to.duration,log.peak.case.to.duration,early.stringency.average,early.stringency.sum,log.early.stringency.sum,how.early.stringency,stringency.delta,peak.stringency,early.mobility.walking,prop65,propurban,popdensity,vul_emp,health_exp,GNI,pollution,Latitude,Longitude,EIU_Democracy,stringent
Slovakia,34,1,44,1,1.83162E-07,0,2.93059E-06,2.772588722,2.56427E-06,0.000212651,3.13992E-07,1.09636E-05,-0.440408749,-0.259566663,8.46974026,652.17,6.480305264,51,1.205138889,90.74,55.42142857,15.629247,53.726,113.2905782,11.79799993,1186.136353,18260,17.56291134,48.669026,19.699024,7.17,SI>7.77
Slovenia,28,1,28,1,4.81016E-07,0,2.74179E-05,3.349904087,2.40508E-05,0.000431472,1.92406E-06,2.30201E-05,-0.470038232,-0.381398017,2.663561644,194.44,5.270123632,10,3.108461538,91.93,93.63571429,19.60688,54.541,102.6398595,11.19599962,1920.28186,24580,16.02397998,46.151241,14.995463,7.5,SI<7.77
South Africa,32,1,55,0,8.43047E-08,1.609437912,2.19192E-07,2.564949357,1.56807E-06,,8.43047E-08,3.82462E-06,-0.50902589,-0.226800925,13.06069767,1123.22,7.023954839,64,1.501111111,97.35,57.10428571,5.318005,66.355,47.63011978,10.29799986,499.2375488,5750,25.10220499,-30.559482,22.937506,7.24,SI>7.77
Spain,31,1,59,1,5.98869E-07,3.33220451,2.13882E-08,0,0.000239505,0.002051619,1.85161E-05,0.000171222,-0.351512006,-0.146992406,5.734193548,355.52,5.873581506,32,1.020897436,90.74,139.22,19.378508,80.321,93.52905826,10.98200044,2506.464844,29340,9.697927863,40.463667,-3.74922,8.18,SI<7.77
Sweden,44,1,85,1,6.93119E-07,1.945910149,9.90171E-08,0,0.000213085,0.001799833,1.06373E-05,6.16028E-05,-0.260253353,-0.114056517,0.317428571,22.22,3.100992784,2,1.744615385,56.47,109.9371429,20.095525,87.431,25.00104343,6.063000068,5904.583984,55490,6.18466509,60.128161,18.643501,9.39,SI<7.77
Switzerland,31,1,29,1,4.62181E-07,1.386294361,4.8529E-06,3.737669618,8.26149E-05,0.001259097,6.85018E-06,0.000129889,-0.383588233,-0.308580258,2.2446875,143.66,4.967449397,9,3.407142857,79.49,105.22,18.623217,73.797,215.5213784,8.941000104,9956.259766,84410,10.3031001,46.818188,8.227512,9.03,SI<7.77
Thailand,38,1,71,1,1.43267E-08,0,2.00573E-07,0.538996501,4.298E-07,2.83381E-05,3.684E-08,1.72329E-06,-0.450439017,-0.186919358,0,0,,-5,1.4,76.87,82.18285714,11.900893,49.949,135.8972068,48.47200012,247.0351105,6610,26.25672656,15.870032,100.992541,6.32,SI<7.77
Turkey,36,1,36,1,4.38705E-07,3.610917913,5.57274E-07,3.850147602,2.8172E-05,0.000879699,1.45332E-06,5.40522E-05,-0.373379494,-0.272932218,15.66986842,1190.91,7.082473,76,0.811954023,74.61,95.87857143,8.483213,75.143,106.9601289,27.04299927,444.6536865,10420,44.31152568,38.963745,35.243322,4.09,SI>7.77
United Arab Emirates,39,1,91,0,2.02216E-07,0,5.05541E-07,0.223143551,8.99862E-06,,6.21093E-07,5.2947E-05,-0.36645603,-0.108200218,8.046582278,635.68,6.454695292,57,1.034823529,90.74,66.54,1.085001,86.522,135.6091101,0.932000011,1357.017456,40880,40.91750982,23.424076,53.847818,2.76,SI>7.77
United Kingdom,39,1,74,1,1.17845E-07,2.079441542,2.94612E-08,0,0.000167148,0.001397122,1.25462E-05,8.18515E-05,-0.289386906,-0.127170323,5.555,355.52,5.873581506,32,1.342641509,82.27,123.6385714,18.395866,83.398,274.8273922,12.99799958,3858.674316,41770,10.47269039,55.378051,-3.435973,8.52,SI<7.77
US,49,1,78,1,4.22957E-08,2.63905733,1.51056E-08,-0.559615788,0.000120099,0.001500094,6.65122E-06,9.54537E-05,-0.243279801,-0.11867781,2.54440678,150.12,5.011434974,27,0.885466667,71.97,116.7057143,15.807654,82.256,35.76608858,3.836999949,10246.13867,63080,7.409441662,37.09024,-95.712891,7.96,SI<7.77
