iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,TKM,0,0,0,0,0,0,0,0,12265.522,12265.522,12265.08232355957,12260.79205945576
ABW,TMP,0,0,0,0,0,0,0,0,18262.52,18262.52,18275.07092919922,18274.88987086435
ABW,TON,0,0,0,0,0,0,0,0,12067.622,12067.622,12052.02962680664,12051.76087125616
ABW,TTO,0,0,1,0,0,0,0,0,959.7569,959.7569,960.6143410125732,960.3905746504504
ABW,TUN,0,0,0,0,0,0,0,0,8328.585,8328.585,8334.207950878907,8333.935555536073
ABW,TUR,0,0,0,0,0,0,0,0,9845.79,10197.241,10126.41731137695,10114.11889081
ABW,TUV,0,0,0,0,0,0,0,0,12456.918,12456.918,12533.82088642578,12533.01938842483
ABW,TWN,0,0,0,0,0,0,0,0,15659.134,15659.134,15771.77413334961,15770.89710889342
ABW,TZA,0,0,0,0,0,0,0,0,12282.36,11881.487,11986.51587246094,11976.28680203498
ABW,UGA,0,0,1,0,0,0,0,0,11386.025,11386.025,11347.05682424316,11346.17087990177
ABW,UKR,0,0,0,0,0,0,0,0,9678.4492,9678.4492,9909.713043774414,9901.715373677856
ABW,URY,0,1,0,0,0,0,0,0,5483.9346,5483.9346,5392.856433996581,5389.012516828494
ABW,USA,0,0,1,0,0,0,0,0,3161.668,3007.269,3859.88542298584,3648.866237973264
ABW,UZB,0,0,0,0,0,0,0,0,12732.287,12732.287,12713.78549509277,12709.94346061979
ABW,VCT,0,0,1,0,0,0,0,0,964.70435,964.70435,953.5869628479004,953.5273439116207
ABW,VEN,0,1,0,0,0,0,0,0,408.80646,408.80646,437.7823584999084,380.6062036625996
ABW,VGB,0,0,1,0,0,0,0,0,881.28821,881.28821,879.4905289138794,879.4416105808472
ABW,VNM,0,0,0,0,0,0,0,0,16271.962,16271.962,17039.93475078125,17024.94095184654
ABW,VUT,0,0,1,0,0,0,0,0,13756.357,13756.357,13796.53125737305,13796.34770150116
ABW,WLF,0,0,0,0,0,0,0,0,12049.833,12049.833,12055.93343657227,12055.93125041624
ABW,WSM,0,0,1,0,0,0,0,0,13348.891,13348.891,11605.0799479248,11605.03290529215
ABW,YEM,0,0,0,0,0,0,0,0,12161.901,12161.901,12205.73349262695,12204.18898927827
ABW,YUG,0,0,0,0,0,0,0,0,9082.8584,9082.8584,9097.524950561523,9097.13423747388
ABW,ZAF,0,0,1,0,0,0,0,0,10662.36,11441.715,11325.09003640137,11313.80955382421
ABW,ZAR,0,0,0,0,0,0,0,0,9622.7695,9622.7695,10139.77340126953,10103.90017154342
ABW,ZMB,0,0,1,0,0,0,0,0,11267.376,11267.376,11237.00207775879,11235.77023662014
ABW,ZWE,0,0,1,0,0,0,0,0,11603.469,11603.469,11528.00563615723,11526.70291935254
AFG,ABW,0,0,0,0,0,0,0,0,13257.814,13257.814,13168.22415524902,13166.36660960287
AFG,AFG,0,0,0,0,0,0,0,0,303.76135,303.76135,269.5433493628681,90.26415234631105
AFG,AGO,0,0,0,0,0,0,0,0,7607.7998,7607.7998,7573.253210881042,7563.813745437967
AFG,AIA,0,0,0,0,0,0,0,0,12292.158,12292.158,12205.45224083328,12203.40983484348
AFG,ALB,0,0,0,0,0,0,0,0,4342.1167,4342.1167,4250.73758255558,4243.15020096059
AFG,AND,0,0,0,0,0,0,0,0,5806.3589,5806.3589,5712.403089802551,5707.325928581401
AFG,ANT,0,0,0,0,0,0,0,0,13218.259,13218.259,13004.5637893074,12995.19142349679
AFG,ARE,0,0,0,0,0,0,0,0,1813.6145,1813.6145,1657.19310294342,1628.89835219191
AFG,ARG,0,0,0,0,0,0,0,0,15298.504,15298.504,15341.16165130386,15333.27844147897
AFG,ARM,0,0,0,0,0,0,0,0,2266.1501,2266.1501,2171.301778436184,2155.121348598138
AFG,ATG,0,0,0,0,0,0,0,0,12297.092,12297.092,12214.32103429718,12212.19939441634
AFG,AUS,0,0,0,0,0,0,0,0,11433.487,11365.442,11086.1405715168,11020.75096875711
AFG,AUT,0,0,0,0,0,0,0,0,4568.0977,4568.0977,4567.301989565468,4557.808571393581
AFG,AZE,0,0,0,0,0,0,0,0,1822.2172,1822.2172,1821.718680044174,1796.368103157502
AFG,BDI,0,0,0,0,0,0,0,0,5930.0571,5930.0571,5849.066546426201,5842.157164828004
AFG,BEL,0,0,0,0,0,0,0,0,5416.1211,5416.1211,5331.891731272697,5326.836644764265
AFG,BEN,0,0,0,0,0,0,0,0,7481.0063,7450.4736,7330.65706485424,7323.327350471013
